COUNTY.COD,SAMPLING.E,OBSERVATIO,LOCALITY.I,LOCALITY,LATITUDE,LONGITUDE,Curlew_Sandpiper,Black.tailed_Gowdit ,Red.necked_Stint,Eurasian_Curlew,Bar.tailed_Gowdit,Great_Knot,Asian_Dowitcher,Malaysian_Plover,Great_Thick_Knee,Gray.tailed_Tattler,Nordmann.s_Greenshank,Far_Easter_Curlew,Spoon.billed_Sandpiper,Red_Knot,Beach_Thick_Knee,Eurasian_Oystercatcher,Total,TH_Total
IN-AP-EG,S62367519,12/15/2019,L4972745,Coringa Wildlife Santuary,16.8369936,82.2856236,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,61,15
IN-AP-EG,S42174313,1/21/2018,L6761740,Gadimoga,16.7597222,82.2716667,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,61,12
IN-AP-EG,S26097253,12/1/2015,L4043407,Coringa Wildlife Sanctuary,16.8379122,82.2778659,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,10
IN-AP-EG,S88764391,12/18/2020,L15053624,Port Area,16.938869,82.259628,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,59,6
IN-AP-EG,S62166052,12/9/2019,L10267739,"Kakinada, Andhra Pradesh, IN (16.985, 82.276)",16.9847879,82.2759029,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,32,3
IN-AP-EG,S63441557,1/12/2020,L10475921,"Light House Road, Andhra Pradesh, IN (16.593, 82.266)",16.5926983,82.2656556,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,31,2
IN-AP-EG,S88964844,11/29/2020,L14980147,Yetimoga,16.948393,82.246253,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,31,6
IN-AP-EG,S63081012,12/1/2019,L6762130,"Hope Island, Kakinada",16.972331,82.345178,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,31,4
IN-AP-EG,S63300587,10/19/2019,L10475455,"Koringa Wild Life Sanctuary Road, Chollangi, Andhra Pradesh, IN (16.88, 82.249)",16.880192,82.2493356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
IN-AP-EG,S63413347,1/15/2020,L4984271,Kakinada Fishing Jetty (Kumbhabishekam),16.9578294,82.2678935,10,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,30,16
IN-AP-EG,S34108475,1/7/2013,L5395159,"Coringa Mangrove forests, Andhra Pradesh",16.860356,82.3469925,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,28,6
IN-AP-EG,S40044248,10/21/2017,L6366139,Opposite of Coromondal International,16.9956434,82.2679424,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,15
IN-AP-EG,S52710451,2/15/2015,L8250193,Coringa Wildlife Sanctuary--Walkway-Boat House,16.880154,82.2454183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
IN-AP-EG,S62164312,12/7/2019,L10262128,"Lanka Path, Kothapalem, Andhra Pradesh, IN (16.595, 82.266)",16.5951361,82.2655871,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25,5
IN-AP-EG,S63081692,12/27/2019,L6762130,"Hope Island, Kakinada",16.972331,82.345178,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,5
IN-AP-EG,S41863998,1/13/2018,L4984271,Kakinada Fishing Jetty (Kumbhabishekam),16.9578294,82.2678935,0,0,0,12,20,0,0,0,0,0,0,0,0,2,0,0,43,34
IN-AP-EG,S63410258,1/15/2020,L10492485,Wetland opposite Coromandel fertilizers,16.9956434,82.2679424,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,8
IN-AP-EG,S42153057,1/21/2018,L6761740,Gadimoga,16.7597222,82.2716667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4
IN-AP-EG,S83187253,3/2/2021,L13992713,"water body nearparry sugers limited ,kakinada beach road",16.9989632,82.277532,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,41,3
IN-AP-EG,S77981823,12/26/2020,L13032601,"Vakalapudi Road, Kakinada, Andhra Pradesh, IN (16.992, 82.262)",16.9922099,82.2618807,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8
IN-AP-EG,S63720543,1/12/2020,L10475921,"Light House Road, Andhra Pradesh, IN (16.593, 82.266)",16.5926983,82.2656556,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39,8
IN-AP-EG,S41899919,1/13/2018,L6762130,"Hope Island, Kakinada",16.972331,82.345178,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,8
IN-AP-EG,S62150701,12/7/2019,L10262128,"Lanka Path, Kothapalem, Andhra Pradesh, IN (16.595, 82.266)",16.5951361,82.2655871,16,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,38,24
IN-AP-EG,S63719921,12/1/2019,L10543709,coramandel,16.998954,82.2799342,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,34,3
IN-AP-EG,S65734367,3/13/2020,L10832846,"Dairy Farm Road, Kakinada, Andhra Pradesh, IN (16.957, 82.266)",16.9570788,82.2658002,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,34,12
IN-AP-EG,S67886112,12/1/2019,L11256365,Coramandal International,16.9776101,82.2507204,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,33,3
IN-AP-EG,S77724007,12/20/2020,L12984925,"20 Dec 2020 19:1517.04, 82.302",17.0400324,82.301864,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,33,4
IN-AP-EG,S65867103,3/1/2020,L10973662,"Unnamed Road, Gachakayala Pora, Andhra Pradesh, IN (16.517, 82.142)",16.5166941,82.1416796,0,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,33,28
IN-AP-EG,S77777708,12/19/2020,L12974861,"Andhra Pradesh, IN (17.002, 82.283)",17.0020311,82.2830672,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
IN-AP-EG,S51662961,1/13/2019,L6762130,"Hope Island, Kakinada",16.972331,82.345178,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5
IN-AP-EG,S50633363,12/13/2018,L8247776,"Koringa Wild Life Sanctuary Road, Chollangi, Andhra Pradesh, IN (16.881, 82.245)",16.8805361,82.2451169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
IN-AP-EG,S85572338,3/14/2021,L13225058,Creek near Coromandel,16.9963278,82.2796633,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1
IN-AP-EG,S81176290,12/20/2020,L10492485,Wetland opposite Coromandel fertilizers,16.9956434,82.2679424,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7
IN-AP-EG,S40044788,10/21/2017,L4984271,Kakinada Fishing Jetty (Kumbhabishekam),16.9578294,82.2678935,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,12
IN-AP-EG,S54472314,2/10/2019,L4972745,Coringa Wildlife Santuary,16.8369936,82.2856236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
IN-AP-EG,S64264344,2/9/2020,L10475455,"Koringa Wild Life Sanctuary Road, Chollangi, Andhra Pradesh, IN (16.88, 82.249)",16.880192,82.2493356,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,2
