"COMMON.NAME","Bhatikhana wetlands JG","Joka Wetlands","Rabindra Sarovar (including Lion's Safari Park)","Alitakhali","Piyali Island Tourist Lodge","Farakka IBA Panchanandapur (count 1)","Jagannathpur Wetland 1","Jagannathpur Wetland 2","Ash Pond of Farakka Thermal Power Project","Rampara","Ahiron Wetland","Diara","Naya Bundh Wetland Complex (IBA)","Gajoldoba Barrage JG","Rajarhat Wetlands I","Sagardighi Ash Pond","Baruipur Marshes","Binod Dighi","Unnamed Road, Bayra, West Bengal, IN (24.446, 88.207)","Saheb Bandh","Ballavpur WLS Jheel 2","Ballavpur WLS Jheel 3","Ballavpur WLS Jheel 1","Tajpur (count 1)","Tajpur (count 2)","Jaypur","Bakreshwar Dam (count 1)","Nalban Bheri","Nabagram (count 1)","Nabagram (count 2)","Santragachi Jheel (Lake)","Bortibeel (count 1)","Bortibeel (count 2)","Bakreshwar Dam (count 2)","Kharibari","Purbasthali Bird Sanctuary PUB","Shyamkhola Birding Place","Bara Sagardighi Fish Farm","10 no spar teesta riverbed","Karjjana Wetland 1","Karjjana Wetland 2","Bosipota","Farakka IBA Panchanandapur (count 2)","Sundoriya Bill","Sahaspur","Kamalpur","Fulbari Grassland"
"Little Cormorant","15","5","470","0","12","10","0","25","4","4","2","30","5","11","6","0","50","0","0","8","11","0","6","0","0","0","69","30","6","7","6","8","4","150","60","50","5","27","15","5","2","4","41","30","7","0","79"
"Little Egret","1","0","0","5","0","4","0","2","1","0","0","8","0","0","0","0","22","11","0","0","0","0","6","8","0","0","3","0","0","0","0","0","0","10","155","40","0","0","5","0","0","12","0","2","0","20","2"
"Little Grebe","4","0","0","16","0","0","0","2","0","11","0","0","5","0","12","0","3","1","0","0","2","0","0","0","0","2","58","8","0","0","0","4","2","30","0","10","5","0","0","10","3","0","9","1","0","0","0"
"Northern Shoveler","7","0","0","15","0","0","2","0","0","2","0","0","36","6","0","14","0","0","3","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","12"
"Pied Kingfisher","3","0","0","0","0","4","0","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","4","3","0","0","1"
"Red-crested Pochard","1","0","0","0","0","5","0","0","0","19","384","0","0","12","0","0","0","0","4","2","0","0","29","0","0","0","273","0","0","0","0","0","0","100","0","0","0","0","0","0","0","0","4","34","0","0","0"
"Siberian Stonechat","2","0","0","0","0","0","0","0","0","0","0","0","1","10","2","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","12"
"Spotted Dove","10","3","X","0","0","6","0","0","3","19","0","4","15","0","1","0","18","0","0","0","0","0","0","0","0","0","0","7","8","4","4","0","0","0","12","0","4","0","25","4","5","2","15","2","0","0","0"
"Stork-billed Kingfisher","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0"
"White-breasted Waterhen","5","2","3","0","0","0","0","2","0","0","0","8","0","0","6","0","8","0","0","0","0","0","0","0","8","0","1","1","0","2","4","0","0","10","1","0","0","0","2","4","0","1","0","2","0","0","0"
"White-throated Kingfisher","1","3","7","0","0","2","0","0","2","0","0","10","2","0","1","0","9","1","0","0","2","0","2","2","0","0","8","11","0","0","0","1","2","25","6","20","0","5","2","2","1","2","13","0","0","0","2"
"White Wagtail","2","0","2","0","0","3","0","0","6","1","0","6","3","0","1","0","3","1","0","0","0","0","0","2","0","0","0","6","1","2","0","1","2","0","21","50","0","7","20","2","0","2","5","5","0","0","8"
"Yellow-footed Green-Pigeon","10","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","9","0","0","0","0","0","0","20","0","0","0","0","0","0","0","0","0"
