COMMON NAME,thresh1
Eurasian Curlew,300
Crab Plover,300
Black-tailed Godwit,1500
Bar-tailed Godwit,500
Red Knot,150
Long-toed Stint,100
Indian Skimmer,50
Greater Flamingo,2400
Lesser Flamingo,3900
Curlew Sandpiper,2400
Little Stint,2400
Lesser Sand plover,1200
Black-bellied Tern,100
Great Knot,50
Common Pochard,3200
Yellow-breasted Bunting,50
White-headed Duck,1
Ferruginous Duck,500
European roller,1000
Sociable Lapwing,2
