Common Name,Scientific Name,Source,SoIB Concern Status,IUCN Red List,WLPA Schedule
Little Ringed Plover,Charadrius dubius,eBird,Moderate,Least Concern,Schedule-IV
Greater Painted-Snipe,Rostratula benghalensis,eBird,Moderate,Least Concern,Schedule-IV
Pheasant-tailed Jacana,Hydrophasianus chirurgus,eBird,Moderate,Least Concern,Schedule-IV
Temminck's Stint,Calidris temminckii,eBird,Moderate,Least Concern,Schedule-IV
Little Stint,Calidris minuta,eBird,Moderate,Least Concern,Schedule-IV
Eurasian Woodcock,Scolopax rusticola,eBird,NA,Least Concern,Schedule-IV
Solitary Snipe,Gallinago solitaria,eBird,NA,Least Concern,Schedule-IV
Wood Snipe,Gallinago nemoricola,eBird,NA,Vulnerable,Schedule-IV
Pin-tailed Snipe,Gallinago stenura,eBird,Moderate,Least Concern,Schedule-IV
Common Sandpiper,Actitis hypoleucos,eBird,Moderate,Least Concern,Schedule-IV
Green Sandpiper,Tringa ochropus,eBird,Moderate,Least Concern,Schedule-IV
Common Greenshank,Tringa nebularia,eBird,High,Least Concern,Schedule-IV
Wood Sandpiper,Tringa glareola,eBird,Low,Least Concern,Schedule-IV
Common Redshank,Tringa totanus,eBird,Moderate,Least Concern,Schedule-IV
Small Pratincole,Glareola lactea,eBird,Moderate,Least Concern,Schedule-IV
Pallas's Gull,Ichthyaetus ichthyaetus,eBird,Low,Least Concern,Schedule-IV
Asian Openbill,Anastomus oscitans,eBird,Low,Least Concern,Schedule-IV
Black Stork,Ciconia nigra,eBird,Moderate,Least Concern,Schedule-IV
Woolly-necked Stork,Ciconia episcopus,eBird,Low,Vulnerable,Schedule-IV
Lesser Adjutant,Leptoptilos javanicus,eBird,Moderate,Vulnerable,Schedule-IV
Little Cormorant,Microcarbo niger,eBird,Low,Least Concern,Schedule-IV
Great Cormorant,Phalacrocorax carbo,eBird,Low,Least Concern,Schedule-IV
Cinnamon Bittern,Ixobrychus cinnamomeus,eBird,High,Least Concern,Schedule-IV
Gray Heron,Ardea cinerea,eBird,Low,Least Concern,Schedule-IV
Purple Heron,Ardea purpurea,eBird,Low,Least Concern,Schedule-IV
Great Egret,Ardea alba,eBird,Low,Least Concern,Schedule-IV
Intermediate Egret,Ardea intermedia,eBird,Low,Least Concern,Schedule-IV
Little Egret,Egretta garzetta,eBird,Low,Least Concern,Schedule-IV
Cattle Egret,Bubulcus ibis,eBird,Low,Least Concern,Schedule-IV
Indian Pond-Heron,Ardeola grayii,eBird,Low,Least Concern,Schedule-IV
Chinese Pond-Heron,Ardeola bacchus,eBird,NA,Least Concern,Schedule-IV
Striated Heron,Butorides striata,eBird,Low,Least Concern,Schedule-IV
Black-crowned Night-Heron,Nycticorax nycticorax,eBird,Low,Least Concern,Schedule-IV
Osprey,Pandion haliaetus,eBird,Low,Least Concern,Schedule-I
Black-winged Kite,Elanus caeruleus,eBird,Low,Least Concern,Schedule-I
Oriental Honey-buzzard,Pernis ptilorhynchus,eBird,Low,Least Concern,Schedule-I
Jerdon's Baza,Aviceda jerdoni,eBird,Moderate,Least Concern,Schedule-I
Red-headed Vulture,Sarcogyps calvus,eBird,High,Critically Endangered,Schedule-IV
White-rumped Vulture,Gyps bengalensis,eBird,High,Critically Endangered,Schedule-I
