LOCALITY,Standardized.Site.Name,LATITUDE,LONGITUDE
"Nathapettai Lake,Kanchipuram, Tamil Nadu, IN (12.833, 79.736)",Vaiyavoor/Nathapettai Lake,12.8330034,79.7360196
Chembarambakkam Lake,Chembarambakkam Lake,13.0225374,80.0728226
Sholinganallur/Perumbakkam Marsh (Western end),Sholinganallur/Perumbakkam Marshlands,12.9037222,80.2090788
Pon Vilaintha Kalathure Lake,Pon Vilaintha Kalathur Lake,12.6256969,79.9913692
"Theneri Lake,Tamil Nadu, IN (12.87, 79.854)",Thenneri Lake,12.8698147,79.8536194
IN-Tamil Nadu-Chennai-Pallavaram-Thuraipakkam Rd - 12.949x80.224,Pallikaranai Marsh,12.9493449,80.2235275
kallipattu,Uthukadu Lake,12.8253175,79.7738099
"NH 332A, Chengalpattu IN-TN 12.36611, 80.07032",Mudhaliyarkuppam Backwaters/Odiyur Lake,12.366111,80.070316
Powerstation,Pallikaranai Marsh,12.915045,80.2212989
Muttukadu Estuary,Kelambakkam/Muttukadu Backwaters,12.8024744,80.2474125
buckingham canal near Uthandi,Buckingham Canal--Uthandi,12.8782873,80.2402246
"603103, Chengalpattu IN-Tamil Nadu (12.8096,80.2448)",Kelambakkam/Muttukadu Backwaters,12.809631,80.244773
Tenneri,Thenneri Lake,12.8585026,79.8464089
"IN-Tamil Nadu-Chennai - 12.959x80.22 - Feb 17, 2017 7:01 AM",Pallikaranai Marsh,12.959485,80.2197783
"Nemmeli, ECR",Kelambakkam/Muttukadu Backwaters,12.7167,80.217133
Pallikaranai Marshland Conservatory,Pallikaranai Marsh,12.91603,80.2239
"Buckingham Canal, ECR to OMR Rd",Buckingham Canal--Sholinganallur,12.898565,80.237
Nochimedu Lake (__________ ___),Nayapakkam Wetlands,13.0547277,79.9908328
Kelambakkam Salt pans,Kelambakkam/Muttukadu Backwaters,12.77186,80.22626
Pallikaranai Marsh--Midlands ___________ ____________-- __________,Pallikaranai Marsh,12.9278317,80.2179515
"Muttukadu lake, Kelambakam-Kovalam Road, Tamil Nadu, IN (12.784, 80.237)",Kelambakkam/Muttukadu Backwaters,12.7836895,80.237398
Meiyur,Kalpakkam Backwaters,12.4973169,80.1417517
Thiruvidanthai,Thiruvudanthai Beach,12.7491776,80.2575938
"Nathapettai LakeTamil Nadu, IN (12.834, 79.738)",Vaiyavoor/Nathapettai Lake,12.8341224,79.737699
Grassland behind ECR Dhaba,Kelambakkam/Muttukadu Backwaters,12.7989435,80.2421451
kelambakam-kovalam rd,Kelambakkam/Muttukadu Backwaters,12.7838108,80.2406967
"Unnamed Road, Thiruvidanthai, Tamil Nadu, IN (12.779, 80.241)",Kelambakkam/Muttukadu Backwaters,12.7793609,80.2413954
"1/330 Indira Gandhi Street, Chennai, Tamil Nadu, IN (12.918, 80.225)",Pallikaranai Marsh,12.9181507,80.2253937
Siruthavur Lake,Sirudavoor Lake,12.6822771,80.1454353
city karai lake,Siruvakkam Lake,12.8923019,79.7098231
Thiruporur,Kelambakkam/Muttukadu Backwaters,12.7209,80.1866
Vivanta by Taj,Kelambakkam/Muttukadu Backwaters,12.797573,80.2482176
Pooncheri Wetland and Scrub Jungle,Mahabalipuram Backwaters,12.6105476,80.1668447
Kelambakkam Backwaters,Kelambakkam/Muttukadu Backwaters,12.786106,80.2255154
Odiyur Lake,Mudhaliyarkuppam Backwaters/Odiyur Lake,12.3376082,80.0421739
SSN Institutions,Kelambakkam/Muttukadu Backwaters,12.7518485,80.1986718
Vedanthangal Bird Sanctuary,Vedanthangal Bird Sanctuary,12.5457666,79.8555422
"Cheyyur, Kancheepuram IN-Tamil Nadu (12.3128,80.0399)",Mudhaliyarkuppam Backwaters/Odiyur Lake,12.312768,80.039926
"Easwaran Street, Chennai",Pallikaranai Marsh,12.9223238,80.2282832
Sholinganallur,Sholinganallur/Perumbakkam Marshlands,12.8998171,80.2235205
Enroute Odiyur Lake,Palar River Estuary,12.4518307,80.1203728
Alamparai Fort--Estuary,Buckingham Canal--Alamparai,12.2655996,80.0109875
"The Farm, Semmancheri",Buckingham Canal--Uthandi,12.8667508,80.2275002
e coast road,Mahabalipuram Backwaters,12.62014,80.18301
Kalpakkam--Bridge,Kalpakkam Backwaters,12.5107685,80.1606971
"Thiruvidanthai, Tamil Nadu, IN (12.779, 80.241)",Thiruvudanthai Beach,12.7794612,80.2413029
"Kelambakam-Kovalam Road, Kelambakkam, Tamil Nadu, IN (12.784, 80.233)",Kelambakkam/Muttukadu Backwaters,12.784222,80.2326068
"Chennai, Tamil Nadu, IN (12.901, 80.218)",Sholinganallur/Perumbakkam Marshlands,12.9008626,80.2184095
backyard,ECR Beach,12.893437,80.253067
"Sathya Sai Nagar, Tamil Nadu, IN (12.886, 80.177)",Siththalapaakkam Lake,12.8855571,80.176555
"Chennai-69, Thandalam, Tamil Nadu, IN (12.995, 80.105)",Chembarambakkam Lake,12.9952924,80.1050651
Muthukadu Backwaters,Kelambakkam/Muttukadu Backwaters,12.8024274,80.2396774
KELAMBAKKAM-KOVALAM RD.,Kelambakkam/Muttukadu Backwaters,12.7828526,80.2260694
"East Coast Road, Paramankeni, Tamil Nadu, IN (12.343, 80.049)",Mudhaliyarkuppam Backwaters/Odiyur Lake,12.3427531,80.0490803
Sholinganallur marsh lands,Sholinganallur/Perumbakkam Marshlands,12.9005429,80.2184129
Ottivakkam,Pon Vilaintha Kalathur Lake,12.6226781,79.9825914
Fishermans cove hotel,Kelambakkam/Muttukadu Backwaters,12.797663,80.248741
"Pallikaranai Marshland, Thangam Avenue",Pallikaranai Marsh,12.92805,80.21974
Odiyur Lake Bridge,Mudhaliyarkuppam Backwaters/Odiyur Lake,12.3303401,80.0173985
IN-Tamil Nadu-Thirumudivakkam-Service Road Ring Road - 12.953x80.089,Chembarambakkam Lake,12.9525078,80.0886806
IN-Tamil Nadu-Adayalacheri-East Coast Road - 12.43x80.109,Palar River Estuary,12.4302733,80.10871
"Kelambakam-Kovalam Road, Thiruvidandhai, Tamil Nadu, IN (12.784, 80.244)",Kelambakkam/Muttukadu Backwaters,12.7837443,80.2439276
Kovalam Point 1,Kelambakkam/Muttukadu Backwaters,12.8023505,80.2482648
Kelambakkam Backwaters,Kelambakkam/Muttukadu Backwaters,12.783581,80.2367329
Mamallapuram Backwaters,Mahabalipuram Backwaters,12.6162171,80.1844025
Akkarai Beach,ECR Beach,12.897337,80.254325
"Thiruvidanthai, Tamil Nadu, IN (12.785, 80.245)",Kelambakkam/Muttukadu Backwaters,12.784515,80.2448702
Karikili bird sanctuaries,Karikili Bird Sanctuary,12.5998575,79.8406023
Kalpakkam (Unspecified),Kalpakkam Backwaters,12.5,80.15
Kelambakkam-Kovalam Road,Kelambakkam/Muttukadu Backwaters,12.7856038,80.2442372
Sholinganallur Lake,Sholinganallur/Perumbakkam Marshlands,12.8892669,80.2260183
kelambakkam,Kelambakkam/Muttukadu Backwaters,12.7843817,80.2156448
"Thiruvalluvar Nagar Beach,Thiruvanmiyur",Thiruvanmiyur Beach,12.9737495,80.2668711
"Unnamed Road, Kovalam, IN (12.803, 80.248)",Kelambakkam/Muttukadu Backwaters,12.8025144,80.2481881
Kalpakkam Township,Kalpakkam Backwaters,12.5166301,80.1608044
EASTERN SIDE OF PALLIKARANAI MARSH LAND.,Pallikaranai Marsh,12.92349,80.22203
PALLIKARANAI,Pallikaranai Marsh,12.93895,80.22056
CAPML Center,Pallikaranai Marsh,12.91493,80.22125
"Pallikaranai South end 12.928x80.219 - Mar 16, 2016 6:22 AM",Pallikaranai Marsh,12.92823,80.21852
"Perumpakkam Chennai, Tamil Nadu, IN (12.897, 80.22)",Sholinganallur/Perumbakkam Marshlands,12.898033,80.1907969
"Buckingham Canal banks, behind Hiranandani",Buckingham Canal--Hiranandani,12.8378604,80.2341233
Pallikaranai wet land,Sholinganallur/Perumbakkam Marshlands,12.901,80.2279
PALLIKARANAI MARSH  WEST,Pallikaranai Marsh,12.92822,80.21886
Kalivelli NW1,Buckingham Canal--Alamparai,12.241553,79.952778
Shollinganallur/Perambakkam Marsh,Sholinganallur/Perumbakkam Marshlands,12.9011418,80.2210307
PALLIKARANAI MARSH LANDS WEST 1,Pallikaranai Marsh,12.93988,80.22152
"Perumbakkam Marsh Tamil Nadu, IN (12.901, 80.218)",Sholinganallur/Perumbakkam Marshlands,12.9010926,80.2183002
Shollinganallur/Perambakkam Marsh,Sholinganallur/Perumbakkam Marshlands,12.9011268,80.2188434
"Chennai, Tamil Nadu, IN (12.899, 80.209)",Sholinganallur/Perumbakkam Marshlands,12.8991563,80.2091888
"Nemmeli, Tamil Nadu, IN (12.703, 80.207)",Kelambakkam/Muttukadu Backwaters,12.7027764,80.2073035
PALLIKARANAI MARSH,Pallikaranai Marsh,12.9493144,80.223906
Pallikaranai Marsh Midwest Point,Pallikaranai Marsh,12.9392213,80.2206656
Nathapettai Lake,Vaiyavoor/Nathapettai Lake,12.8322218,79.7323537
KELAMBAKKAM-KOVALAM WETLAND.,Kelambakkam/Muttukadu Backwaters,12.7822193,80.2277128
IN-Tamil Nadu-Chennai-5/323 Creek Street - 12.926x80.228,Pallikaranai Marsh,12.9259554,80.2278021
Ambedkar Nagar Phase II,Pallikaranai Marsh,12.9327649,80.2196574
PALLIKARANAI MARSH LANDS,Pallikaranai Marsh,12.9486034,80.2209234
Nathapettai Lake,Vaiyavoor/Nathapettai Lake,12.8285395,79.7373104
Nathapettai Lake,Vaiyavoor/Nathapettai Lake,12.8305062,79.7299933
SHOLINGANALLUR LAKE,Sholinganallur/Perumbakkam Marshlands,12.88389,80.23183
IN-Tamil Nadu-Chennai-Pallavaram-Thuraipakkam Road - 12.95x80.223,Pallikaranai Marsh,12.9495433,80.2233067
Pallikaranai Marsh,Pallikaranai Marsh,12.949308,80.223245
PML,Pallikaranai Marsh,12.9476728,80.2117181
"Classic Farms Road, Chennai IN-Tamil Nadu (12.8964,80.2150)",Sholinganallur/Perumbakkam Marshlands,12.89644,80.215045
METTUKUPPAM PALLIKARANAI MARSH LANDS,Pallikaranai Marsh,12.9348011,80.2289271
Shollinganallur/Perambakkam Marsh,Sholinganallur/Perumbakkam Marshlands,12.8995917,80.2193738
PALLIKARANAI MARSH LANDS EASTERN SIDE KARAPAKKAM,Pallikaranai Marsh,12.9172864,80.2237988
KELAMBAKKAM-KOVELAM ROAD.,Kelambakkam/Muttukadu Backwaters,12.7822113,80.2303746
KACHA RD TO SHOLINGANALLUR/ PERUMBAKKAM MARSH,Sholinganallur/Perumbakkam Marshlands,12.9039,80.2101892
thorappakam radial road,Pallikaranai Marsh,12.9476833,80.2289486
WESTERN SIDE OF PALLIKARANAI MARSH LANDS 2,Pallikaranai Marsh,12.92829,80.21843
"Perumbakkam Marsh, Tamil Nadu, IN (12.9, 80.221)",Sholinganallur/Perumbakkam Marshlands,12.9004799,80.221375
PALLIKARANAI MARSH LANDS NORHERN SIDE,Pallikaranai Marsh,12.9335177,80.2280259
Shollinganallur/Perambakkam Marsh,Sholinganallur/Perumbakkam Marshlands,12.901,80.22392
"Perumbakkam Marsh Tamil Nadu, IN (12.901, 80.223)",Sholinganallur/Perumbakkam Marshlands,12.9007188,80.2228003
"IN-Tamil Nadu-Chennai - 12.96x80.222 - Feb 17, 2017 7:51 AM",Pallikaranai Marsh,12.9602817,80.2219883
"Nathapettai Lake, Kanchipuram",Vaiyavoor/Nathapettai Lake,12.8333584,79.7373302
Pallikaranai Marsh Mid Point,Pallikaranai Marsh,12.9399401,80.223963
"Pallikaranai Marsh, Chennai--Southwest Watchtower",Pallikaranai Marsh,12.9388439,80.2193677
"Chennai, Tamil Nadu, IN (12.898, 80.221)",Sholinganallur/Perumbakkam Marshlands,12.8978397,80.221203
"Pallambakkam--Saltpans (_____________, _______)",Buckingham Canal--Alamparai,12.240131,79.953835
"IN-Tamil Nadu-Chennai-5/323 Creek Street - 12.926x80.228 - Feb 11, 2017 3:08 PM",Pallikaranai Marsh,12.9259633,80.2276438
AMBEDHKAR NAGAR PHASE-2,Pallikaranai Marsh,12.92829,80.21843
Pallikaranai Marsh,Pallikaranai Marsh,12.9458333,80.2111111
"Nathapettai Lake,Tamil Nadu, IN (12.835, 79.737)",Vaiyavoor/Nathapettai Lake,12.8348311,79.7368363
Vaiyavoor Lake,Vaiyavoor/Nathapettai Lake,12.8365735,79.7373533
Muttukadu Backwaters,Kelambakkam/Muttukadu Backwaters,12.8019899,80.2397079
PALLIKARANAI NORTH,Pallikaranai Marsh,12.94976,80.23092
vaiyavoor lake,Vaiyavoor/Nathapettai Lake,12.8433673,79.7369456
Perumbakkam,Sholinganallur/Perumbakkam Marshlands,12.9006001,80.2194428
"Elcot Avenue, Chennai, Tamil Nadu, IN (12.898, 80.221)",Sholinganallur/Perumbakkam Marshlands,12.8975245,80.2211321
IN-Tamil Nadu-Chennai-1/16 Perumbakkam Main Rd - 12.902x80.218,Sholinganallur/Perumbakkam Marshlands,12.9016495,80.2178297
"Thangavelu Engg College, Chennai, Tamil Nadu, IN (12.924, 80.228)",Pallikaranai Marsh,12.9240983,80.2278067
Odiyur Lake,Mudhaliyarkuppam Backwaters/Odiyur Lake,12.352411,80.0577164
"Nathapettai Lake,Kanchipuram, Tamil Nadu, IN (12.833, 79.737)",Vaiyavoor/Nathapettai Lake,12.8331685,79.7368186
WESTERN SIDE OF PALLIKARANAI MARSH LANDS 1,Pallikaranai Marsh,12.939,80.22019
Sholinganallur marsh,Sholinganallur/Perumbakkam Marshlands,12.9005325,80.2184129
Rajakamangalam Lake,Rajakkamangalam Lake,8.128145,77.3719454
Swamithope,Mankudy Lake,8.1180973,77.4952787
"Kaliakkavilai, Tamil Nadu, IN (8.112, 77.488)",Mankudy Lake,8.111715,77.487805
Puthalam Salt Pans,Mankudy Lake,8.1027386,77.4773884
"Manakudi Road, Kaliakkavilai, Tamil Nadu, IN (8.1, 77.49)",Mankudy Lake,8.0999476,77.489815
"Samadhanapuram Road, Kovalam, Tamil Nadu, IN (8.085, 77.523)",Vaalkulam,8.084639,77.5228435
"Manakudi Road, Kaliakkavilai, Tamil Nadu, IN (8.108, 77.487)",Mankudy Lake,8.107976,77.4871256
"Manakkudy Road, Manakudy, Tamil Nadu, IN (8.1, 77.478)",Mankudy Lake,8.1004533,77.4784719
Rajakkamangalam Uppalam,Rajakkamangalam Lake,8.1298443,77.3690808
"Salt Pans, Swamithoppu",Mankudy Lake,8.1160899,77.4845821
"Keela Manakudy - Mela Manakudy Bridge, Manakudy, Tamil Nadu, IN (8.091, 77.485)",Mankudy Lake,8.0905101,77.4846407
"(10.287, 79.825)point calimere",Point Calimere Wildlife Sanctuary,10.2868604,79.8246736
Point Calimere Wildlife Sanctuary--Mudflats,Point Calimere Wildlife Sanctuary,10.312082,79.8741388
Point Calimere Wildlife Sanctuary,Point Calimere Wildlife Sanctuary,10.3086366,79.8530102
Point Calimere Wildlife Sanctuary--Saltpans,Point Calimere Wildlife Sanctuary--Saltpans,10.2970245,79.8126483
Thirupoondi South,Karappidagai Saltpans,10.6143092,79.8269535
"culvert /bridge, Nagapattinam, Tamil Nadu, IN (10.753, 79.831)",Kaduvaiyar River Estuary/Nagappattinam,10.7530417,79.8305421
"Kodiakarai, Tamil Nadu, IN",Point Calimere Wildlife Sanctuary--Saltpans,10.2953493,79.8148857
Kodiyakarai Fishing Boat Jetty,Point Calimere Wildlife Sanctuary,10.2746305,79.8193538
"Manangkondan River, Adhanur",Point Calimere Wildlife Sanctuary--Saltpans,10.3754295,79.8083222
"Point Calimere,Pumping station",Point Calimere Wildlife Sanctuary,10.3287888,79.8244607
"Point Calimere, Tamil Nadu",Point Calimere Wildlife Sanctuary,10.2896723,79.8262766
Vettaikaraniruppu Saltpans,Karappidagai Saltpans,10.5675565,79.8193216
"Unnamed Road, Kodiakkadu, Tamil Nadu, IN (10.294, 79.82)",Point Calimere Wildlife Sanctuary--Saltpans,10.2940931,79.8199423
"Kodiakkadu, Tamil Nadu, IN (10.291, 79.819)",Point Calimere Wildlife Sanctuary--Saltpans,10.2912575,79.8193692
"Kodiyakarai, Tamil Nadu, IN (10.296, 79.816)",Point Calimere Wildlife Sanctuary--Saltpans,10.295504,79.816371
IN-Tamil Nadu-Kodikkarai - 10.294x79.815 - 24-Dec-2015 2:23 pm,Point Calimere Wildlife Sanctuary--Saltpans,10.2943104,79.8154673
BNHS Ringing,Point Calimere Wildlife Sanctuary,10.28695,79.823994
Chemplast Sanmar Pump house 2,Point Calimere Wildlife Sanctuary--Saltpans,10.293886,79.815641
returning to TTP,Point Calimere Wildlife Sanctuary--Saltpans,10.4280532,79.688344
Karappidagai South,Karappidagai Saltpans,10.5524814,79.8139837
10.295x79.815 - 10-Oct-2016 5:07 pm,Point Calimere Wildlife Sanctuary--Saltpans,10.2947233,79.8153017
"Unnamed Road, Veepanchery, Tamil Nadu, IN (11.078, 79.852)",Thirukadaiyur,11.0780006,79.8517557
Pumphouse area,Point Calimere Wildlife Sanctuary--Saltpans,10.2880651,79.8142576
Tamil Nadu,Point Calimere Wildlife Sanctuary--Saltpans,10.2851608,79.8121458
Point Calimere,Point Calimere Wildlife Sanctuary,10.3022525,79.880476
PPN Power Plant,Thirukadaiyur,11.0746461,79.8342133
"Kodiyakarai, Tamil Nadu, IN (10.294, 79.816)",Point Calimere Wildlife Sanctuary--Saltpans,10.2944237,79.8156822
"Kodiakkadu, Tamil Nadu, IN (10.291, 79.819)",Point Calimere Wildlife Sanctuary--Saltpans,10.2914589,79.8188048
"Kollidam River, Aanaikaaran Chathiram",Kollidam River--Vaalampudugai,11.3363094,79.7163898
"kodiyakarai, Tamil Nadu, IN (10.295, 79.815)",Point Calimere Wildlife Sanctuary--Saltpans,10.2945067,79.8152878
"Light House Road, Tamil Nadu, IN (10.289, 79.87)",Point Calimere Wildlife Sanctuary,10.2889429,79.8699735
"Unnamed Road, Pillaiperumalnallur, Tamil Nadu, IN (11.073, 79.839)",Thirukadaiyur,11.0733943,79.8388771
Chemplast Sanmar Pump House 1,Point Calimere Wildlife Sanctuary,10.274926,79.817274
IN-Tamil Nadu-Kodiyakadu - 10.289x79.835 - 09-Oct-2016 3:53 pm,Point Calimere Wildlife Sanctuary,10.2890833,79.835065
"Thanjavur - Kodiakkarai Road, Kodiyakadu, Tamil Nadu, IN (10.308, 79.834)",Point Calimere Wildlife Sanctuary,10.3077349,79.8339266
Point Calimere Wildlife Sanctuary--Grassland,Point Calimere Wildlife Sanctuary,10.2871938,79.8514223
Sithar Kovil,Point Calimere Wildlife Sanctuary,10.274975,79.8209095
Point Calimere Wildlife Sanctuary--Dry Evergreen forest,Point Calimere Wildlife Sanctuary,10.2988056,79.840436
"Light House Road, Kodiyakarai, Tamil Nadu, IN (10.286, 79.83)",Point Calimere Wildlife Sanctuary,10.2864184,79.8297672
Point Calimere Coastal Wetlands - Kodikkarai Beach,Point Calimere Wildlife Sanctuary,10.2758195,79.8235703
10.287x79.829 - 08-Oct-2016 3:01 pm,Point Calimere Wildlife Sanctuary,10.286705,79.8290133
IN-Tamil Nadu-Light House Road - 10.291x79.869 - 09-Oct-2016 5:30 pm,Point Calimere Wildlife Sanctuary,10.2914517,79.8690217
"Tamil Nadu, IN (10.298, 79.805)",Point Calimere Wildlife Sanctuary--Saltpans,10.2977683,79.8048883
Kaveri Pump House,Point Calimere Wildlife Sanctuary,10.2742174,79.8082257
"East Coast Road, Porrya, Tamil Nadu, IN (11.024, 79.846)",Uppanar/Nalandar River Estruary,11.0244501,79.8456698
Near Sithar Temple,Point Calimere Wildlife Sanctuary,10.2762437,79.8167966
Kodiakarai point calimer,Point Calimere Wildlife Sanctuary,10.3105588,79.85564
Siruthalaikadu,Point Calimere Wildlife Sanctuary--Saltpans,10.3361978,79.7626202
Point calimere bird sanctuary,Point Calimere Wildlife Sanctuary,10.2887,79.86928
Point Calimere (Pump House),Point Calimere Wildlife Sanctuary--Saltpans,10.2955438,79.8172114
Salt pans Kodiakkarai,Point Calimere Wildlife Sanctuary--Saltpans,10.3278865,79.8154765
"Reservoir, Point calimere",Point Calimere Wildlife Sanctuary--Saltpans,10.2970115,79.8113689
kodiakarai,Point Calimere Wildlife Sanctuary,10.2864605,79.8295784
Salt Pans,Point Calimere Wildlife Sanctuary--Saltpans,10.297607,79.80921
Point Calimere Coastal Wetlands,Point Calimere Wildlife Sanctuary--Saltpans,10.2941455,79.8165321
"(10.296, 79.814)Point Calimer Chennai",Point Calimere Wildlife Sanctuary--Saltpans,10.296099,79.8144942
"Manamelkudi - Kodiyakarai Road, Kodiakkadu, Tamil Nadu, IN (10.29, 79.827)",Point Calimere Wildlife Sanctuary,10.2900433,79.826575
"Tamil Nadu, IN (10.295, 79.815) Point Calimer  Bird Sanctury",Point Calimere Wildlife Sanctuary--Saltpans,10.2947482,79.8151384
"Main Road, Kodiakkadu, Tamil Nadu, IN (10.29, 79.825)",Point Calimere Wildlife Sanctuary,10.2899566,79.8247156
"Main Road, Kodiakkadu, Tamil Nadu, IN (10.29, 79.824)",Point Calimere Wildlife Sanctuary,10.2904683,79.8243783
"(10.274, 79.808) Sanmar, Point Calimere,",Point Calimere Wildlife Sanctuary,10.2743425,79.807991
Kodiyamunai (_________),Kodiyakkarai,10.03786,79.2659567
Kodiyamunai to Vadakku Ammapattinam,Kodiyakkarai,10.0461766,79.2412144
Dhanushkodi Beach,Rameshwaram/Dhanushkodi Beach,9.1597813,79.4383299
"Danushkodi beach road, Palk Bay side",Rameshwaram/Dhanushkodi Beach,9.1753772,79.4217904
Kothandaramar Temple (___________ ______),Rameshwaram/Dhanushkodi Beach,9.232407,79.347509
"Valinokkam, Ramnad Dist",Valinokkam,9.184135,78.637037
Mukundaryar Chathiram,Rameshwaram/Dhanushkodi Beach,9.1973005,79.3852115
"Krusadai Island, Rameswaram, Tamilnadu",Krusadai Island,9.246947,79.211555
IN - 9.201x79.382 - 15 Oct 2016 12:54,Rameshwaram/Dhanushkodi Beach,9.2006903,79.3818611
Dhanushkodi-- Point 3,Rameshwaram/Dhanushkodi Beach,9.18568,79.404502
Arichalmunai Beach,Rameshwaram/Dhanushkodi Beach,9.1498052,79.4507707
Akkal Madam to Kundukaal,Krusadai Island,9.2585777,79.2212684
Dhanushkodi,Rameshwaram/Dhanushkodi Beach,9.1828853,79.4138575
"Valinokkam, Tamil Nadu, IN (9.165, 78.638)",Valinokkam,9.1654746,78.6376994
"Dhanushkodi, Tamil Nadu, IN (9.235, 79.334)",Rameshwaram/Dhanushkodi Beach,9.2347415,79.3337187
"Rameswaram-Dhanushkodi Road, Tamil Nadu, IN (9.232, 79.338)",Rameshwaram/Dhanushkodi Beach,9.2315871,79.3379018
Puddukkadu,Kottakarai River Estuary,9.6538283,78.9433207
valinokkam,Valinokkam,9.1839021,78.6381626
Gulf of Mannar Marine National Park,Rameshwaram/Dhanushkodi Beach,9.1102326,79.4558716
Dhanushkodi-- Point 2,Rameshwaram/Dhanushkodi Beach,9.214812,79.36057
Vivekananda Memorial House,Krusadai Island,9.2592982,79.221867
Karankadu Mangroves,Kottakarai River Estuary,9.644627,78.9557791
"Rameswaram-Dhanushkodi Road, Dhanushkodi, Tamil Nadu, IN (9.193, 79.392)",Rameshwaram/Dhanushkodi Beach,9.1933083,79.3918035
"Dhanushkodi  Dhanushkodi, Tamil Nadu, IN (9.202, 79.387)",Rameshwaram/Dhanushkodi Beach,9.2020337,79.3873609
"Munaikadu, Mandapam camp, Rameswaram",Ariyamaan Beach,9.262863,79.101917
"Valinokkam, Salt Pane  Tamil Nadu, IN (9.17, 78.638)",Valinokkam,9.1702403,78.6375652
"Dhanushkodi ,Tamil Nadu,India",Rameshwaram/Dhanushkodi Beach,9.1564173,79.4417095
Ervadi Beach,Ervadi Beach,9.2003017,78.7192733
"Thondi, Tamil Nadu, IN (9.732, 79.016)",Thondi,9.7323788,79.0157603
Narippaiyur Beach,Narippaiyur Beach,9.1143463,78.4184995
Kothandaraman Temple surrounding,Rameshwaram/Dhanushkodi Beach,9.2329537,79.3480458
Dhanuskodi,Rameshwaram/Dhanushkodi Beach,9.1678472,79.4280167
Manauli Island,Manauli Island,9.215282,79.1294432
"Rameswaram, Tamil Nadu, IN (9.281, 79.31)",Rameshwaram/Dhanushkodi Beach,9.2814264,79.3099415
"Tamil Nadu, IN (9.216, 79.122)",Manauli Island,9.2163615,79.1218325
Mukuntharayar chatram - Dhanushkodi point,Rameshwaram/Dhanushkodi Beach,9.20017,79.380126
vijayanarayanam,Koonthakulam Bird Sanctuary,8.4209109,77.7820873
Kuppakurchi Kulam,Thamirabarani River Wetlands--Rajavallipuram,8.801428,77.791712
KOONTHAKULAM BIRD SANCTUARY,Koonthakulam Bird Sanctuary,8.4958872,77.7545786
Paalaamadai Lake,Thamirabarani River Wetlands--Rajavallipuram,8.7981604,77.7898683
Koonthakulam Bird Sanctuary,Koonthakulam Bird Sanctuary,8.4949534,77.7558231
Kalkurichi lake,Thamirabarani River Wetlands--Rajavallipuram,8.7917677,77.7666197
Kandan Kulam,Koonthakulam Bird Sanctuary,8.489275,77.763408
Palamadai/Rajavallipuram,Thamirabarani River Wetlands--Rajavallipuram,8.7891495,77.7510166
koonthakulam,Koonthakulam Bird Sanctuary,8.495672,77.757013
THATTANKULAM KULAM,Koonthakulam Bird Sanctuary,8.4743673,77.6717305
Nainarkulam,Nainar/Patapattu Lake,8.730717,77.69083
"karaiyiruppu, tirunelveli",Nainar/Patapattu Lake,8.762599,77.6958275
kangaikondan,Gangalkondon Lake,8.841934,77.78496
Patapattu kulam,Nainar/Patapattu Lake,8.706983,77.66337
Kalakkurichi Kulam,Thamirabarani River Wetlands--Rajavallipuram,8.7903924,77.7754998
seevalaperi,Thamirabarani River Wetlands--Rajavallipuram,8.7673494,77.8078365
Mannankadu West - Vannaathi Odai,Vendakkotai,10.4151166,79.3805766
Hare Island,Thoothukudi/Hare Island,8.7833815,78.1940746
pattinamaruthur salt pans,Thoothukudi/Hare Island,8.7767383,78.1492925
"Thiruppani puthantharuvai, Tamil Nadu, IN (8.348, 77.947)",Periya Tharuvai,8.3477268,77.9474328
Thoothukudi,Thoothukudi/Hare Island,8.7641661,78.1348361
Pattinamaruthr,Thoothukudi/Hare Island,8.7718877,78.1377268
Pattinamaruthur,Thoothukudi/Hare Island,8.8067121,78.1378507
Pattanamaruthor,Tharuvaikulam Aqua Farms/Salt Pans,8.9272661,78.1870794
Perukulam Lake,Perukulam Lake,8.6439046,77.9789078
Pattanamaruthor,Thoothukudi/Hare Island,8.8067716,78.1379048
Korrampallam Tank (___________),Korampallam Lake,8.766504,78.090676
periakulam,Perukulam Lake,8.64271,77.99601
Hare Island,Thoothukudi/Hare Island,8.8066343,78.137913
Hare Island,Thoothukudi/Hare Island,8.7731177,78.1919289
"Thuthukudi / Tuticorin, Tamil Nadu",Korampallam Lake,8.78,78.1
Arumugamangalam Lake,Arumugamangalam Lake,8.649737,78.0417109
Pazhaiyakayal estuary,Thamirabarani River Estuary,8.667375,78.1121063
"Tamil Nadu, IN (8.717, 78.156)",Thoothukudi/Hare Island,8.7170229,78.1557925
Punnaikayal Mangroves,Thamirabarani River Estuary,8.643174,78.11895
kadamba kulam,Kadambakulam Lake,8.584834,77.99716
IN - Punnakayal Estuary,Thamirabarani River Estuary,8.6308886,78.1257822
"Manapad Beach Road, Manapad, Tamil Nadu, IN (8.379, 78.054)",Karumeni River Estuary,8.3785578,78.0536355
"Mullakadu,Tuticorin",Vaippar River--Mullakadu,9.0638555,78.198967
inigo nagar,Thoothukudi/Hare Island,8.7892688,78.1611944
"East Coast Road, Thoothukudi, Tamil Nadu, IN (8.773, 78.158)",Thoothukudi/Hare Island,8.7728741,78.1576925
Vembar Backwaters,Vembar Wetlands,9.0810513,78.3658004
