LOCALITY,Standardized.Site.Name,LATITUDE,LONGITUDE
"Lanka Path, Kothapalem, Andhra Pradesh, IN (16.595, 82.266)",Coringa Wildlife Santuary,16.5951361,82.2655871
"Point 1 Kumbhvishakhanm, Kakinada, Andhra Pradesh, IN (16.958, 82.272)",Kakinada,16.958388,82.2716832
"IN (16.598, 82.27)",Coringa Wildlife Santuary,16.5977425,82.2697804
Creek near Coromandel,Kakinada,16.9963278,82.2796633
"Unnamed Road, Chirra Yanam, Andhra Pradesh, IN (16.502, 82.144)",Katrenikona Lake,16.5015839,82.1439824
Chollangi Theertham,Kakinada,16.90993,82.240895
"Katrenikona Lake, East Godavari County, Andhra Pradesh, IN",Katrenikona Lake,16.5356571,82.1558403
Sirayanam Lagoon,Katrenikona Lake,16.5029807,82.1534926
Coringa Wildlife Santuary,Coringa Wildlife Santuary,16.8369936,82.2856236
"Andhra Pradesh, IN (17.002, 82.283)",Kakinada,17.002101,82.2828918
"Hope Island, Kakinada",Hope Island,16.972331,82.345178
Magasanitippa,Coringa Wildlife Santuary,16.6421357,82.3122315
Kakinada ..coromondal fertilisers opposite Creek,Kakinada,17.0048662,82.281678
Antarvedi,Godavari River--Antervedi,16.3227,81.7303
Kumbabhishekam,Kakinada,16.969131,82.239552
"Point 4 Hope Island (16.959, 82.359)",Hope Island,16.9590159,82.3592602
"water body nearparry sugers limited ,kakinada beach road",Kakinada,16.9989632,82.277532
"Light House Road, Andhra Pradesh, IN (16.593, 82.266)",Coringa Wildlife Santuary,16.5926983,82.2656556
"Chollangi, Andhra Pradesh, IN (16.906, 82.236)",Kakinada,16.9064286,82.2361092
"IN (17, 82.287) Kakinada Beach",Kakinada,17.0003875,82.2865072
Krishna,Krishna River Estuary,16.0367348,80.873106
"Krishna Mangrove (15.875, 80.788)",Krishna River Estuary,15.8753702,80.7883935
KRISHNA RIVER,Krishna River Estuary,15.945933,80.901003
Uppu Revu Mudflats & Sandspit (Krishna Sanctuary),Krishna River Estuary,15.7664566,80.8094987
"Sorlagandhi, Andhra Pradesh, IN (15.785, 80.854)",Krishna River Estuary,15.7850767,80.8536724
Hamsaladeevi Beach Road,Krishna River Estuary,15.9550361,81.1167236
"Unnamed Road, Nidamarru, Andhra Pradesh, IN (16.357, 81.399)",Upputeru River--Gollapelam Beach,16.3570468,81.3987998
Krishna Wildlife Sanctuary (Hamsaladeevi road),Krishna River Estuary,15.9748642,81.1007973
Kolleru Bird Sanctuary,Kolleru Lake,16.5672099,81.2312686
"Chinna Gollapalem, Andhra Pradesh, IN (16.354, 81.51)",Upputeru River--Gollapelam Beach,16.3541299,81.510203
"Kruthivennu, Krishna IN-AP (16.3549,81.5100)",Upputeru River--Gollapelam Beach,16.35485,81.510033
"Repalle, Guntur IN-AP (15.7478,80.8071)",Krishna River Estuary,15.747778,80.807071
VATHLAKUDI THIPA,Kolleru Lake,16.60559,81.3116
"Karimanal, Inside pulicat Lake",Pulicat Lake--AP,13.4946189,80.2670359
Pulicat bird sanctuary,Pulicat Lake--AP,13.7246273,80.1244068
pulicat tamilnadu,Pulicat Lake--AP,13.7261879,80.1228444
Pulicat Lake,Pulicat Lake--AP,13.5906476,80.1937959
Pulicat Bird Sanctuary--SHAR,Pulicat Lake--AP,13.7200413,80.1109314
Pullicat lake sriharikota road,Pulicat Lake--AP,13.7243563,80.1191926
Pulicat Lake (AP section),Pulicat Lake--AP,13.6780244,80.1112748
Pulicat lake,Pulicat Lake--AP,13.6684225,80.1675797
Pulicat Bird Sanctuary,Pulicat Lake--AP,13.7246,80.1245
Vedanadu Boat House and Mangrooves,Pulicat Lake--AP,13.6200768,80.1404974
Pulicat lake,Pulicat Lake--AP,13.7248935,80.1198447
PULICAT BIRD SANCTUARY,Pulicat Lake--AP,13.69786,80.05145
"Mar 5, 2020 17:3313.698, 80.051",Pulicat Lake--AP,13.6978322,80.0514567
Penna Estuary,Penna River Estuary,14.5835116,80.1835146
"Sriharikota Road, K.C.Narasimhunigunta, Andhra Pradesh, IN (13.698, 80.053)",Pulicat Lake--AP,13.6982308,80.0526839
Irukkam Island,Pulicat Lake--AP,13.5684465,80.1414227
"Irukkam Island, Pulicat Lake",Pulicat Lake--AP,13.5683213,80.1426458
"Sriharikota Road, Andhra Pradesh, IN (13.713, 80.091)",Pulicat Lake--AP,13.7132936,80.0912222
"SHAR Road, Pulicat",Pulicat Lake--AP,13.6979442,80.0302935
Kuppam Boat House,Pulicat Lake--AP,13.6137475,80.1373297
"Pernadu Road, Kadapatra, Andhra Pradesh, IN (13.802, 80.138)",Pulicat Lake--AP,13.8017177,80.1382986
Gangapatnam,Penna River Estuary,14.521727,80.182257
Vatembedu Boat House,Pulicat Lake--AP,13.6440476,80.0573543
"Padmavati Vidyalaya school, Sullurpeta",Pulicat Lake--AP,13.67478,80.009876
VENADU,Pulicat Lake--AP,13.6907529,80.1353853
Pulicat Bird Sanctuary,Pulicat Lake--AP,13.7245174,80.1118554
PULICAT BIRD SANCTUARY-ANDHRA PRADESH,Pulicat Lake--AP,13.7109132,80.0843785
KUDIRI TANK,Pulicat Lake--AP,13.7057213,80.0689017
"05-Jan-2020 09:2517.583, 83.115",Devada Salt Fields/Appikonda Beach,17.5825893,83.1148855
"NTPC ashponds back side Visakhapatnam, Andhra Pradesh, IN (17.584, 83.115)",Devada Salt Fields/Appikonda Beach,17.5836587,83.1148339
Thagarapuvalasa Pond,Gosthani River Estuary,17.9262229,83.4323374
"Gosthani River Mouth North side, Bheemili",Gosthani River Estuary,17.9079465,83.4627809
Devada Salt fields,Devada Salt Fields/Appikonda Beach,17.5719377,83.1133586
Meghadrigedda downstream channel (Behind Airport),Meghadrigedda Channel--Vizag Airport,17.7182941,83.2144152
"Unnamed Road, Visakhapatnam, Andhra Pradesh, IN (17.581, 83.115)",Devada Salt Fields/Appikonda Beach,17.5811645,83.1151122
"Unnamed Road, NTPC Ash Pond Visakhapatnam, Andhra Pradesh, IN (17.587, 83.12)",Devada Salt Fields/Appikonda Beach,17.5873168,83.1195597
"Gosthani River Mouth, Bheemili",Gosthani River Estuary,17.8954002,83.4522289
Puddimadaka Mangroove Area,Pudimadaka Beach,17.4916796,83.0031896
"NTPC ash ponds, Visakhapatnam, Andhra Pradesh, IN (17.588, 83.119)",Devada Salt Fields/Appikonda Beach,17.5881212,83.1185018
"Ntpc Ash ponds, Visakhapatnam,  Andhra Pradesh, IN (17.530088,, 83.79887)",Devada Salt Fields/Appikonda Beach,17.6855012,83.212364
"Unnamed Road, Kalipatnam, Andhra Pradesh, IN (16.382, 81.548)",Upputeru River--Gollapelam Beach,16.3818098,81.5481405
"Mogalthur, West Godavari IN-AP (16.3819,81.5480)",Upputeru River--Gollapelam Beach,16.38192,81.54799
"Andhra Pradesh, IN (16.336, 81.645)",Godavari River--Antervedi,16.3361097,81.6452183
Kolleru,Kolleru Lake,16.6368932,81.2140118
"Bhimalapuram, West godavari district",Godavari River--Valluru,16.55626,81.845897
Kolleru,Kolleru Lake,16.6387684,81.2137476
Kolleru Bird Sanctuary,Kolleru Lake,16.6459286,81.260376
Bichitrapur Mangroves Beach,Subarnarekha River Estuary,21.5810353,87.4200411
Chandipur Beach,Budhabalanga River--Chandipur Beach,21.4515209,87.0410353
Chandipur Beach,Budhabalanga River--Chandipur Beach,21.4520457,87.0408251
Bichitrapur mangroves,Subarnarekha River Estuary,21.5894168,87.4189317
"Chandipur Beach (21.452, 87.058)",Budhabalanga River--Chandipur Beach,21.4518607,87.0579386
Gahirmatha Marine Wildlife Sanctuary,Rushikulya River Estuary,19.3957766,85.0914237
"Malud Road Chilika lake (19.455, 85.141)",Chilika Lake--Sea Mouth,19.4553619,85.1414559
Ganjam--Potagarh fort,Rushikulya River Estuary,19.376649,85.0573218
"Mayurpada, NH 5",Rushikulya River Estuary,19.41717,85.07169
Rushikulya River mouth,Rushikulya River Estuary,19.3761286,85.0724792
Rushikulya Beach,Rushikulya River Estuary,19.4016294,85.0859356
"Rushikulya River bridge, NH 16, Ganjam IN-OR (19.3831,85.0399)",Rushikulya River Estuary,19.38313,85.039902
"Bhubaneswar - Khurdha - Brahmapur Road, Ganjam, Odisha, IN (19.382, 85.037)",Rushikulya River Estuary,19.3816787,85.0374374
"Rushikulya River, Pallibandha",Rushikulya River Estuary,19.3725923,85.0661166
Puthaghar fort - Ganjam,Rushikulya River Estuary,19.375887,85.057206
Ganjam,Rushikulya River Estuary,19.3811137,85.0293732
Potagarh Fort,Rushikulya River Estuary,19.376205,85.057193
"Nehru Bangala Road, Paradeep, Odisha, IN (20.291, 86.716)",Mahanadi River Estuary,20.2912,86.716335
Chilika Lake--Mangalajodi,Chilika Lake--Mangalajodi,19.896767,85.438225
Mangalajodi Wetlands,Chilika Lake--Mangalajodi,19.9193739,85.4244673
"Mangalajodi, Odisha, IN (19.891, 85.437)",Chilika Lake--Mangalajodi,19.8906117,85.4373959
Mangalajodi - Chilika Lake,Chilika Lake--Mangalajodi,19.8949369,85.438697
"(19.716, 85.195)",Chilika Lake,19.7160781,85.1952104
"Khordha, Chilka Lake (Banpur) IN-Odisha (19.9077,85.4361)",Chilika Lake--Mangalajodi,19.907687,85.436124
IN-Odisha-Sitarampur - 19.906x85.449 - 18-Dec-2016 15:03,Chilika Lake--Mangalajodi,19.9060009,85.4488084
Bhitarkanika-Dangamal,Bhitarkanika National Park,20.7408686,86.8683366
Bhitarkanika--Dangamal Jetty,Bhitarkanika National Park,20.7335588,86.869511
Bhitarkanika-Khola Gate,Bhitarkanika National Park,20.7178795,86.8198345
Bhitarkanika,Bhitarkanika National Park,20.6719,86.8215
"Bhitarkanika Sanctuary, Odisha",Bhitarkanika National Park,20.7230136,86.8637194
vitarkanika,Bhitarkanika National Park,20.7677511,86.8418598
Bhitarkanika,Bhitarkanika National Park,20.7422884,86.8676037
"Bhitarkanika National Park, Odisha, IN",Bhitarkanika National Park,20.7141722,86.8201017
bhitarkanika NP,Bhitarkanika National Park,20.7180207,86.819922
Bhitarkanika-- Khola,Bhitarkanika National Park,20.717696,86.8198935
"Bhitarkanika - 20.718x86.823 - Jan 23, 2017 12:45 PM",Bhitarkanika National Park,20.7180253,86.8233873
"Bhitarkanika National Park, Kendrapara IN-OR 20.73374, 86.82265",Bhitarkanika National Park,20.733742,86.822654
Bhitarkanika National Park,Bhitarkanika National Park,20.7152731,86.8668087
IN-Odisha-RajendraNarayanpur-Unnamed Rd - 20.74x86.868,Bhitarkanika National Park,20.7401812,86.8684847
"RajendraNarayanpur, Odisha, IN (20.716, 86.828)",Bhitarkanika National Park,20.7162083,86.8283083
IN-Odisha-Bhitarkanika - 20.712x86.864 - 6 May 2016 7:01 am,Bhitarkanika National Park,20.7116865,86.8638751
"(20.666, 86.855)",Bhitarkanika National Park,20.6660424,86.8553746
"(20.734, 86.868)",Bhitarkanika National Park,20.7337228,86.8675758
Bhitarkanika National Park,Bhitarkanika National Park,20.7346396,86.8681321
"Bhitarkanika National Park, Kendrapara IN-OR 20.74524, 86.82544",Bhitarkanika National Park,20.745243,86.825438
Nasi,Bhitarkanika National Park,20.7365292,87.0690966
bhitarkanika,Bhitarkanika National Park,20.7162194,86.8159282
Gahrimatha WLS,Bhitarkanika National Park,20.6786967,86.9999361
Bhitarkanika NP--Satabhaya,Bhitarkanika National Park,20.5881463,86.8587685
Bhitarakanika NP -- Satavaya,Bhitarkanika National Park,20.645,86.9441667
IN-Odisha-- dangamala- 20.741x86.868,Bhitarkanika National Park,20.7410007,86.868129
"Sadanandapur, Odisha, IN (20.631, 86.896)",Bhitarkanika National Park,20.6305172,86.8955957
Chilika Lake--Satapada,Chilika Lake--Sea Mouth,19.670188,85.4255676
Satapada,Chilika Lake--Sea Mouth,19.6678064,85.4386139
Chilika Lake,Chilika Lake,19.7563642,85.3761292
Chilika Lake--New Sea Mouth,Chilika Lake--Sea Mouth,19.6808561,85.5560303
Rambartia Island,Chilika Lake--Sea Mouth,19.6684934,85.492537
Lunapani,Chilika Lake--Sea Mouth,19.7066575,85.5930126
Chilika Lake - Nalabana Bird Sanctuary,Chilika Lake,19.700154,85.3071785
"Pir Jahanian, Astaranga, Odisha",Devi River Estuary,19.9316984,86.2814069
"Sateisbatia To Mangaljodi Wetland , Odisha, IN (19.909, 85.742)",Chilika Lake--Mangalajodi,19.9091685,85.7416057
Rajhans island,Chilika Lake--Sea Mouth,19.6291392,85.4199578
Chilika Lake,Chilika Lake--Sea Mouth,19.7009405,85.4210186
Satapada--Osthoperi,Chilika Lake--Sea Mouth,19.6594623,85.4287483
IN-Odisha-Puri - 19.823x85.856 - 14 Feb 2016 07:49,Nua Nai River Estuary,19.823385,85.8557877
konark-puri road,Kusabhadra River Estuary,19.8816429,86.099875
"Janhikuda, Odisha",Chilika Lake--Sea Mouth,19.6458798,85.4062866
"Devi River Estuary Bandar, Odisha",Devi River Estuary,19.9715741,86.3752842
"Aloopatana, Odisha",Chilika Lake--Sea Mouth,19.6596056,85.455931
Devi Rivermouth,Devi River Estuary,20.00263,86.32865
"Jombothiya, Odisha, IN",Chilika Lake--Sea Mouth,19.663715,85.4991269
Chilika Lake--Rajhans Island,Chilika Lake--Sea Mouth,19.6579456,85.4945755
"Nalaban, Chilika lake, Odisha, India",Chilika Lake,19.7081012,85.256464
Chilika Lake - Parikud,Chilika Lake,19.6636143,85.2513599
Chilika Lake - Barunkuda,Chilika Lake--Sea Mouth,19.7009405,85.4210186
"Nature Camp, Konark",Kusabhadra River Estuary,19.8544806,86.038635
Chilika Lake - near Barunkuda (near Magarmukh Channel),Chilika Lake--Sea Mouth,19.6867772,85.4065132
Pallikaranai Marsh (___________ _______ _____),Pallikaranai Marsh,12.9509721,80.220664
Theosophical Society,Adayaru River Estuary,13.0087601,80.2704477
Adayaru Estuary,Adayaru River Estuary,13.0121679,80.2760267
Pallikaranai Marsh- East/West Path,Pallikaranai Marsh,12.9499418,80.2310085
Pallikaranai Marsh-- Southern end (___________ _______ _____ - ______ ______),Pallikaranai Marsh,12.946515,80.2236248
India Santhorne High Road bridge,Adayaru River Estuary,13.0232153,80.2728359
Pallikaranai Marsh--NIOT end,Pallikaranai Marsh,12.9488115,80.2110394
Indian Institute of Technology (IIT) Madras,Guindy National Park,12.9934334,80.2380896
Broken bridge,Adayaru River Estuary,13.0111017,80.2798665
"Adyar Estuary, Adyar, Chennai",Adayaru River Estuary,13.0107924,80.275587
Adayaru--Thiru-Vi-Ka (New) Bridge,Adayaru River Estuary,13.01315,80.2585
Adayaru Creek--South Canal Bank Rd. Junction,Adayaru River Estuary,13.0233475,80.272615
Pallikaranai Marshland (South),Pallikaranai Marsh,12.948917,80.2260568
Guindy NP,Guindy National Park,12.9995399,80.2288628
The Theosophical society,Adayaru River Estuary,13.0079447,80.2663279
Annamalaicheri,Pulicat Lake--Annamalaicheri,13.1061535,80.2859436
"3rd Cross Road, Chennai, Tamil Nadu, IN (12.995, 80.235)",Guindy National Park,12.9946089,80.2350872
"5th Avenue, Chennai IN-Tamil Nadu (13.0165,80.2771)",Adayaru River Estuary,13.016464,80.277079
Kamakotinagar 3rd Mn Rd,Pallikaranai Marsh,12.9433335,80.2133703
Kotturpuram-Canal Bank Road,Adayaru River Estuary,13.0144049,80.2479494
Adyar river bank,Adayaru River Estuary,13.0114334,80.2575488
EZHIL NAGAR CAPTAIN COTTON CANAL,Kasimedu Beach,13.1256186,80.271467
Indiranagar 1st cross street,Adayaru River Estuary,12.9987298,80.2550653
