"NAME","Concern.Status","n"
"Semarsot","High",4
"Senchal","High",4
"Shimla Water Catchment","High",4
"Sukhna Lake","High",4
"Amba Barwa","High",3
"Askot Musk Deer","High",3
"Balukhand Konark","High",3
"Barsey Rhododendron","High",3
"Bethuadahari","High",3
"Dachigam","High",3
"Dadra & Nagar Haveli","High",3
"Dampa","High",3
"Fambong Lho","High",3
"Ghataprabha Bird","High",3
"Gobindsagar","High",3
"Govind Pashu Vihar","High",3
"Jawahar Sagar","High",3
"Kadalundi Vallikkunnu","High",3
"Kalatop-Khajjair","High",3
"Kalsubai Harishchandragad","High",3
"Kanwarjheel","High",3
"Kasu Brahmananda Reddy","High",3
"Kheoni","High",3
"Kolleru","High",3
"Kottiyoor","High",3
"Krishna","High",3
"Kumbhalgarh","High",3
"Murlen","High",3
"Nawegaon","High",3
"Palamau","High",3
"Pangolakha","High",3
"Panna (Gangau)","High",3
"Pant (Rajgir)","High",3
"Rangayyanadurga","High",3
"Rani Jhansi","High",3
"Sharavathi Valley","High",3
"Singalila","High",3
"Son Gharial","High",3
"Surinsar Mansar","High",3
"Topchanchi","High",3
"Trishna","High",3
"Bagdara","High",2
"Balphakram","High",2
"Bhensrodgarh","High",2
"Bhimgad","High",2
"Burachapori","High",2
"Chakrasila","High",2
"Chapramari","High",2
"Churdhar","High",2
"Gangotri","High",2
"Great Himalayan","High",2
"Gulmarg","High",2
"Hadgarh","High",2
"Interview Island","High",2
"Jaldapara","High",2
"Jor Beed Gadwala Bikaner","High",2
"Kaimur","High",2
"Karera","High",2
"Katepurna","High",2
"Kugti","High",2
"Lanja Madugu Sivaram","High",2
"Lothian Island","High",2
"Mathikettan Shola","High",2
"Narayan Sarovar (Chinkara)","High",2
"Nokrek","High",2
"Painganga","High",2
"Porbandar Lake","High",2
"Pushpagiri","High",2
"Saraswati","High",2
"Sardarpur","High",2
"Sessa Orchid","High",2
"Shingba (Rhododendron)","High",2
"Siju","High",2
"Sonai-Rupai","High",2
"Sri Penusila Narasimha","High",2
"Talakaveri","High",2
"Tale Valley","High",2
"Todgarh Raoli","High",2
"Turtle","High",2
"Udaipur","High",2
"Valley Of Flowers","High",2
"Valmiki","High",2
"Bandh Baratha","High",1
"Bandli","High",1
"Barren Island","High",1
"Bhairamgarh","High",1
"Bherjan-Borajan-Padumoni","High",1
"Bir Gurdialpura","High",1
"Bir Shikargarh","High",1
"Chandraprabha","High",1
"Chaprala","High",1
"Cinque Islands","High",1
"Cuthbert Bay","High",1
"Daroji Bear","High",1
"Dibang","High",1
"East of Inglis Island","High",1
"Gorumara","High",1
"Govind","High",1
"Hemis","High",1
"Kamlang","High",1
"Kanawar","High",1
"Kane","High",1
"Karakoram (Nubra Shyok)","High",1
"Karanja Sohal Blackbuck","High",1
"Kaundinya","High",1
"Majathal","High",1
"Manali","High",1
"Marat Longri","High",1
"Mouling","High",1
