"COMMON.NAME","Long.Term.Status","Current.Status","Range.Status","Concern.Status","IUCN","WLPA.Schedule"
"Pied Bushchat","Stable","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Greater Painted-Snipe","Moderate Decline","Uncertain","Large","Moderate","Least Concern","Schedule-IV"
"River Tern","Moderate Decline","Moderate Decline","Very Large","Moderate","Near Threatened","Schedule-IV"
"Bluethroat","Uncertain","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Painted Stork","Uncertain","Uncertain","Very Large","Moderate","Near Threatened","Schedule-IV"
"Coppersmith Barbet","Stable","Uncertain","Very Large","Low","Least Concern","Schedule-IV"
"Stork-billed Kingfisher","Uncertain","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Indian Swiftlet","Uncertain","Uncertain","Moderate","Low","Least Concern","Schedule-I"
"Western Reef-Heron","Uncertain","Uncertain","Moderate","Low","Least Concern","Schedule-IV"
"Greater Sand-Plover","Data Deficient","Uncertain","Moderate","Low","Least Concern","Schedule-IV"
"Little Stint","Strong Decline","Uncertain","Large","Moderate","Least Concern","Schedule-IV"
"Northern Pintail","Uncertain","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Kentish Plover","Strong Decline","Uncertain","Moderate","Moderate","Least Concern","Schedule-IV"
"Great Cormorant","Stable","Uncertain","Moderate","Low","Least Concern","Schedule-IV"
"Black-crowned Night-Heron","Stable","Uncertain","Very Large","Low","Least Concern","Schedule-IV"
"Spot-billed Pelican","Uncertain","Uncertain","Moderate","Moderate","Near Threatened","Schedule-IV"
"Temminck's Stint","Moderate Decline","Uncertain","Large","Moderate","Least Concern","Schedule-IV"
"Oriental Pratincole","Data Deficient","Uncertain","Restricted","Moderate","Least Concern","Schedule-IV"
"Slaty-breasted Rail","Data Deficient","Uncertain","Moderate","Low","Least Concern","Schedule-IV"
"Black-tailed Godwit","Stable","Uncertain","Large","Low","Near Threatened","Schedule-IV"
"Dunlin","Strong Decline","Uncertain","Moderate","Moderate","Least Concern","Schedule-IV"
"Ruff","Stable","Uncertain","Large","Low","Least Concern","Schedule-IV"
"Lesser Sand-Plover","Strong Decline","Uncertain","Moderate","Moderate","Least Concern","Schedule-IV"
"Red-naped Ibis","Strong Increase","Uncertain","Very Large","Low","Least Concern","Schedule-IV"
"Gull-billed Tern","Strong Decline","Uncertain","Restricted","High","Least Concern","Schedule-IV"
