LOCALITY,LATITUDE,LONGITUDE,DISTRICT,ST_NM,COMMON.NAME,historical.status,season
Markalu Kere,12.3865485,76.9741416,Mandya,KARNATAKA,Black-tailed Godwit,N,Winter
Sule Kere,12.5088779,76.9902134,Mandya,KARNATAKA,Black-tailed Godwit,N,Winter
Kanali kere,12.5156874,77.0204258,Mandya,KARNATAKA,Black-tailed Godwit,Y,Winter
Kanali Kere,12.5296578,77.0009422,Mandya,KARNATAKA,Black-tailed Godwit,Y,Winter
B. Gowdagere Kere,12.5482459,76.9828534,Mandya,KARNATAKA,Black-tailed Godwit,Y,Winter
Pallikaranai Marsh,12.9486034,80.2209234,Chennai,TAMIL NADU,Little Stint,N,Winter
Pallikaranai Marsh,12.9509721,80.220664,Chennai,TAMIL NADU,Little Stint,N,Winter
Pulicat Lake--Pazhaverkadu,13.4188837,80.314157,Thiruvallur,TAMIL NADU,Greater Flamingo,N,Passage/Summer
Pulicat Lake--Pazhaverkadu,13.4188837,80.314157,Thiruvallur,TAMIL NADU,Greater Flamingo,N,Winter
Pulicat Lake--Pazhaverkadu,13.4191551,80.2963364,Thiruvallur,TAMIL NADU,Greater Flamingo,N,Passage/Summer
Pulicat Lake--Pazhaverkadu,13.4191551,80.2963364,Thiruvallur,TAMIL NADU,Little Stint,N,Passage/Summer
Pulicat Lake--Annamalaicheri,13.4565754,80.2648687,Thiruvallur,TAMIL NADU,Greater Flamingo,N,Passage/Summer
Pulicat Lake--AP,13.6780244,80.1112748,Sri Potti Sriramulu Nell*,ANDHRA PRADESH,Black-tailed Godwit,N,Winter
Pulicat Lake--AP,13.6780244,80.1112748,Sri Potti Sriramulu Nell*,ANDHRA PRADESH,Greater Flamingo,N,Winter
Pulicat Lake--AP,13.6780244,80.1112748,Sri Potti Sriramulu Nell*,ANDHRA PRADESH,Little Stint,N,Winter
Pulicat Lake--AP,13.6780244,80.1112748,Sri Potti Sriramulu Nell*,ANDHRA PRADESH,Greater Flamingo,Y,Passage/Summer
Pulicat Lake--AP,13.69786,80.05145,Sri Potti Sriramulu Nell*,ANDHRA PRADESH,Black-tailed Godwit,N,Winter
Pulicat Lake--AP,13.69786,80.05145,Sri Potti Sriramulu Nell*,ANDHRA PRADESH,Greater Flamingo,N,Winter
Pulicat Lake--AP,13.7200413,80.1109314,Sri Potti Sriramulu Nell*,ANDHRA PRADESH,Greater Flamingo,N,Winter
Pulicat Lake--AP,13.7200413,80.1109314,Sri Potti Sriramulu Nell*,ANDHRA PRADESH,Little Stint,N,Winter
