"COMMON.NAME","Concern.Status","IUCN"
"Brown Fish-Owl","Low","Least Concern"
"Oriental Pied-Hornbill","Low","Least Concern"
"Purple Sunbird","Low","Least Concern"
"Eurasian Hobby","Low","Least Concern"
"Long-legged Buzzard","Low","Least Concern"
"Coal Tit","Low","Least Concern"
"Gray-crested Tit","Low","Least Concern"
"Rufous-vented Tit","Low","Least Concern"
"Stork-billed Kingfisher","Low","Least Concern"
"Tufted Duck","Low","Least Concern"
"Great Egret","Low","Least Concern"
"Ashy Prinia","Low","Least Concern"
"Fulvous Whistling-Duck","Low","Least Concern"
"Red Avadavat","Low","Least Concern"
"Scaly Thrush","Low","Least Concern"
"Common Chiffchaff","Low","Least Concern"
"Gadwall","Low","Least Concern"
"Thick-billed Warbler","Low","Least Concern"
"Eurasian Wigeon","Low","Least Concern"
"Woolly-necked Stork","Low","Vulnerable"
