ASSET.ID,LONGITUDE,LATITUDE,group.id,DISTRICT,ST_NM,g2clip,g3clip,day,month,cyear,type,link,Type,data,,,,,,,,
201424121,76.8893809,28.4638333,S64821369,Gurgaon,Haryana,1255,307,188,7,2014,B,,,ebird,,,,,,,,
201426361,77.6004,27.3774,S64821370,Mathura,Uttar Pradesh,1451,374,188,7,2014,B,,,ebird,,,,,,,,
205039951,76.8893809,28.4638333,S64821369,Gurgaon,Haryana,1255,307,188,7,2014,B,,,ebird,,,,,,,,
205039961,76.8893809,28.4638333,S64821369,Gurgaon,Haryana,1255,307,188,7,2014,B,,,ebird,,,,,,,,
205039971,76.8893809,28.4638333,S64821369,Gurgaon,Haryana,1255,307,188,7,2014,B,,,ebird,,,,,,,,
205039981,76.8893809,28.4638333,S64821369,Gurgaon,Haryana,1255,307,188,7,2014,B,,,ebird,,,,,,,,
205039991,76.8893809,28.4638333,S64821369,Gurgaon,Haryana,1255,307,188,7,2014,B,,,ebird,,,,,,,,
205040001,76.8893809,28.4638333,S64821369,Gurgaon,Haryana,1255,307,188,7,2014,B,,,ebird,,,,,,,,
145425211,76.623,28.7653,S53588236,Jhajjar,Haryana,1254,307,197,7,2014,B,,,ebird,,,,,,,,
145425291,76.623,28.7653,S53588236,Jhajjar,Haryana,1254,307,197,7,2014,B,,,ebird,,,,,,,,
145425311,76.623,28.7653,S53588236,Jhajjar,Haryana,1254,307,197,7,2014,B,,,ebird,,,,,,,,
145425321,76.623,28.7653,S53588236,Jhajjar,Haryana,1254,307,197,7,2014,B,,,ebird,,,,,,,,
228612111,88.334,22.804,S67238588,Hugli,West Bengal,2125,551,252,9,2014,W,,,ebird,,,,,,,,
205936761,72.6235127,22.5492832,S65186175,Kheda,Gujarat,2090,533,260,9,2014,NA,,,ebird,,,,,,,,
205936771,72.6235127,22.5492832,S65186175,Kheda,Gujarat,2090,533,260,9,2014,B,,,ebird,,,,,,,,
161645081,78.341339,26.879818,S31165164,Agra,Uttar Pradesh,1518,375,87,3,2015,NA,,,ebird,,,,,,,,
147869971,88.4596725,22.6288289,S54330440,North 24 Parganas,West Bengal,2126,551,230,8,2015,NA,,,ebird,,,,,,,,
147869981,88.4596725,22.6288289,S54330440,North 24 Parganas,West Bengal,2126,551,230,8,2015,W,,,ebird,,,,,,,,
26592431,78.3290153,17.521068,S28749312,Medak,Telangana,2883,738,88,3,2016,NA,,,ebird,,,,,,,,
28024321,77.2282104,28.7382115,G1757421,North,NCT of Delhi,1256,308,92,4,2016,NA,,,ebird,,,,,,,,
