LATITUDE,LONGITUDE,Location
26.4556858,80.2545154,"JP Fertiliser Plant, Panki"
32.5934361,77.1293385,Juniper Forest
32.5871061,77.1241795,Juniper Forest (Kyelang to Darcha)
32.5799402,77.0375709,Juniper Forest of Keylong
11.383389,75.825341,Kakkur-Narikuni Rd
8.710227,77.129393,Kallar
26.1205225,79.7492146,Kalpi
26.1302708,79.755137,Kalpi Yamuna Bed
12.314769,75.105103,Kanhangad dist govt hospital
12.211309,75.168872,Kannadippara
26.4721147,80.4477268,Kanodia Xing Unnao
26.6196125,80.1910649,Kanpur
26.454006,80.3499428,Kanpur Railway Station
26.4993624,80.2977526,Kanpur Zoo
26.9085341,79.2577801,Kanpur-Agra H'way
26.4972302,80.2889278,Kanpur-Ber Orch
12.7425997,74.8735564,"Kanva Theertha,Manjeshwar."
29.7883333,78.46,Kanwashram
9.578521,76.50689,Karappuzha
32.3342613,77.6166498,Karcha
34.2909739,76.8123036,Kargil-Leh Road
34.2909739,76.8123036,Kargil-Leh Road
29.2239338,78.9556354,Kashipur
32.5708277,77.0346978,Keylong
32.505853,77.0426581,Khangsar
32.414514,77.2359942,Khoksar
32.4145569,77.2355604,Khoksar village
32.8250315,77.4478901,Kinlung
32.8270107,77.4517459,Kinlung Yunnan River
28.2869444,80.3533333,Kishenpur Sanctuary
12.4613295,75.1025016,Kolathur
22.1509199,85.2439663,Kolbonga
12.154832,75.184146,"Koyonkara, Thrikaripur"
12.1494939,75.1903794,Kuniyan Wetland-Main
34.3368539,78.31824,Ladakh
32.4817024,77.354595,Lahul
26.917325,79.6407938,Lakh Bahosi Bird Sanctuary -- Bahosi Jheel
34.1633806,77.5801277,"Leh, Ladakh"
32.972904,77.4107107,Lingti Plain
32.8235133,77.4475875,Lingti plain between Phalang Danda and Kinlung
26.5384921,80.3450561,Ma Kalika Mandir
26.5483352,80.3269839,Ma Kalika Mandir-Ber Orch
26.5436959,80.3352237,Ma Kalika Mandir-Hanumangarhi
12.0322847,75.2569056,Madayipara
26.4931644,80.3286892,Magazine Ghat-Kanpur
21.1382184,72.7507974,Magdalla Port Surat
25.0149882,88.1432689,Mahananda River
26.5118919,80.2844167,Mainavati Marg
22.1499805,85.2424842,Makranda
25.0087081,88.1248747,Malda Aerodrome
25.0068118,88.1413925,Malda District
25.0106786,88.1413579,Malda Town
34.2485436,74.6714115,Manasbal Lake
26.5286419,80.2803076,Mandhana-Ganga Barrage-Ber Orchard
25.0635617,87.880075,Manikchak Ghat Road
12.6533016,75.049139,Maniyampare
12.3306111,75.2121507,"Moopil, Kalichanadkam"
32.5126207,76.9741201,Muling (Minling)
10.756018,76.254627,Mundaya
29.3972815,79.4448853,Nainital
29.385391,79.4609785,Nainital Lake
26.5278073,80.2343941,Naramau Ganges
26.4924682,79.2465734,National Chambal Sanctuary -- Bhareh Fort at Chambal Yamuna Confluence
26.615311,80.6529093,Nawabganj Bird Sanctuary -- Sanctuary Proper
24.944564,88.3006382,Naya Bundh Wetland Complex (IBA)
28.5639678,77.1200597,New Delhi Airport
28.6421016,77.2214463,New Delhi Railway Station
8.552601,77.230672,Neyyar Wildlife Sanctuary
22.1439979,85.5062198,Noamundi
22.2974009,85.1601595,Pachpaia
12.424169,75.063084,Panayal
12.4036998,75.0717783,"Panayal, Kerala, IN (12.404, 75.072)"
32.7619135,77.2594042,Patseo
8.625565,77.135658,Peppara
12.6421446,75.1064224,Perla
30.5305511,77.7045372,Phalang Danda
21.1432324,72.7456494,Port Surat
22.331865,85.1873901,Rabangda
24.8184394,87.9530358,Rabindra Bhavan
31.8293756,77.1182264,Rahla
26.5272614,80.4634809,"Rahman Industry (RIL, RCI II)"
26.54939,80.4915376,Rajiv Crossing (Xing)
26.4964817,80.3236521,Ranighat
26.0129781,76.5032959,Ranthambore NP
26.492401,80.3231907,Ratan Presidency Phase II
29.6636111,78.8572222,Rathuadhab
26.5695838,80.3025784,Rewatapur
32.3730588,77.2463987,Rhotang Pass
32.3607994,77.2406776,Rhotang Pass Kulu Slope
32.3807715,77.2757442,Rohtang Pass (foot) Chandra River
26.3631019,80.4327142,Rooma
29.69,78.5294444,Saneh
32.9081674,77.5794349,Sarchu
32.9125311,77.5785713,Sarchu--Tsarab River
32.9173947,77.5794296,Serchu Yunnan River
26.4921927,80.3182179,Shangrila
32.3209953,77.6467286,Shigri Glacier
26.5698617,80.3030515,Sidhnath Mandir-Ber Orchard
26.5690039,80.3030733,Sidhnath Temple Area
26.5695023,80.3033359,Sidhnath Temple-Hanumangarhi
24.9332596,88.3342001,Singabad Tilason
26.5336957,80.2322191,Singhpur Trail
32.4798034,77.1267003,Sissu village
32.0550457,78.6078279,Somdeo
34.3014363,75.2948427,Sonamarg
32.4888267,77.0736798,south of Kyelang (B/W) Sissoo & Gondla
8.549085,76.914704,Sreekaryam
34.0832876,74.7984455,Srinagar
26.4815115,80.3382218,SSP Resi Kanpur
34.0638234,77.5536549,Stokrange
26.598037,80.268125,Subedar Farm
28.4638333,76.8893809,Sultanpur National Park
32.056155,78.6079137,Sumdo
32.3725007,77.2464459,Summit of Rohtang Pass
32.7623672,77.3979391,Suraj Tal Lake
21.1701677,72.8311154,Surat
20.2483824,79.3606853,Tadoba NP
22.1813853,85.2483246,Tambo
21.1513207,72.7490054,Tapti River Surat
12.2407074,75.1049423,Thaikadapuram
32.4468608,77.6909326,Tharcha camping ground (Takcha)
10.13472,76.701691,Thattekad
9.949027,76.36689,Thiruvankulam
12.4723454,75.1479686,"Thonikadav, Kundamkuzhy"
23.1184722,85.1105576,Timra
33.0342951,77.5893067,Tsarab Bridge
26.5350174,80.4685021,Unnao Road
12.161788,75.180589,Vadakkumbad
12.1402008,75.1484585,Valiyaparamba
26.5646543,80.3914261,Vill Langrapurva-Unnao
26.562851,80.303266,Vill Langrapurwa
26.5367878,80.3415731,Vill Shankarpurva
26.4942066,80.318207,Vishnupuri Area
27.1759969,78.0429258,Yamuna River Agra
33.2415582,77.1592089,Yunnan River
32.7922028,77.3198612,Zingzingbar
9.148565,92.720819,
11.5076967,92.7023792,
11.715797,92.732753,
28.577779,77.223561,
28.402041,77.215738,
29.1172,76.697097,
27.973756,77.341422,
28.5959141,77.2450206,
7.967486,93.358983,
6.9998255,93.9467577,
6.913958,93.890484,
6.8138,93.8071,
11.67966,92.729548,
8.497518,93.629305,
11.578298,92.611504,
11.5107244,92.6151592,
11.620522,92.614003,
11.589528,92.593796,
11.5958042,92.6078796,
11.715797,92.732753,
11.6241583,92.725811,
27.3418655,76.4336979,
32.2543842,77.1716702,
31.7081322,76.9324657,
